#,Region,Company,Product,Date of Approval,Status,Action
62,Central Region,Bharat Petroleum Corporation Limited,MS (in KL),01/03/2022,Approved,View & Print
63,Central Region,Indian Oil Corporation Limited,HSD (in KL),01/03/2022,Approved,View & Print
64,Central Region,Indian Oil Corporation Limited,MS (in KL),01/03/2022,Approved,View & Print
65,Central Region,Indian Oil Corporation Limited,SKO (in KL),01/03/2022,Approved,View & Print
,,,Non-Subsidized LPG,,,
66,Central Region,Indian Oil Corporation Limited,,01/03/2022,Approved,View & Print
,,,(No. of Cylinder),,,
,,,Commercial LPG (No. of,,,
67,Central Region,Indian Oil Corporation Limited,,01/03/2022,Approved,View & Print
,,,Cylinder),,,
68,Eastern Region,Bharat Petroleum Corporation Limited,HSD (in KL),01/03/2022,Approved,View & Print
#,Region,Company,Product,Date of Approval,Status,Action
69,Eastern Region,Bharat Petroleum Corporation Limited,MS (in KL),01/03/2022,Approved,View & Print
70,Eastern Region,Indian Oil Corporation Limited,HSD (in KL),01/03/2022,Approved,View & Print
71,Eastern Region,Indian Oil Corporation Limited,MS (in KL),01/03/2022,Approved,View & Print
72,Eastern Region,Indian Oil Corporation Limited,SKO (in KL),01/03/2022,Approved,View & Print
,,,Non-Subsidized LPG,,,
73,Eastern Region,Indian Oil Corporation Limited,,01/03/2022,Approved,View & Print
,,,(No. of Cylinder),,,
,,,Commercial LPG (No. of,,,
74,Eastern Region,Indian Oil Corporation Limited,,01/03/2022,Approved,View & Print
,,,Cylinder),,,
75,Western Region,Bharat Petroleum Corporation Limited,HSD (in KL),16/02/2022,Approved,View & Print
76,Western Region,Bharat Petroleum Corporation Limited,MS (in KL),16/02/2022,Approved,View & Print
77,Western Region,Indian Oil Corporation Limited,HSD (in KL),16/02/2022,Approved,View & Print
78,Western Region,Indian Oil Corporation Limited,MS (in KL),16/02/2022,Approved,View & Print
79,Western Region,Hindustan Petroleum Corporation Limited,HSD (in KL),16/02/2022,Approved,View & Print
80,Western Region,Hindustan Petroleum Corporation Limited,MS (in KL),16/02/2022,Approved,View & Print
81,Central Region,Bharat Petroleum Corporation Limited,HSD (in KL),16/02/2022,Approved,View & Print
82,Central Region,Bharat Petroleum Corporation Limited,MS (in KL),16/02/2022,Approved,View & Print
83,Central Region,Indian Oil Corporation Limited,HSD (in KL),16/02/2022,Approved,View & Print
84,Central Region,Indian Oil Corporation Limited,MS (in KL),16/02/2022,Approved,View & Print
85,Eastern Region,Bharat Petroleum Corporation Limited,HSD (in KL),16/02/2022,Approved,View & Print
86,Eastern Region,Bharat Petroleum Corporation Limited,MS (in KL),16/02/2022,Approved,View & Print
87,Eastern Region,Indian Oil Corporation Limited,HSD (in KL),16/02/2022,Approved,View & Print
88,Eastern Region,Indian Oil Corporation Limited,MS (in KL),16/02/2022,Approved,View & Print
89,Western Region,Indian Oil Corporation Limited,SKO (in KL),04/02/2022,Approved,View & Print
90,Central Region,Indian Oil Corporation Limited,SKO (in KL),04/02/2022,Approved,View & Print
91,Eastern Region,Indian Oil Corporation Limited,SKO (in KL),04/02/2022,Approved,View & Print
92,Western Region,Hindustan Petroleum Corporation Limited,HSD (in KL),01/02/2022,Approved,View & Print
93,Western Region,Hindustan Petroleum Corporation Limited,MS (in KL),01/02/2022,Approved,View & Print
94,Western Region,Bharat Petroleum Corporation Limited,HSD (in KL),01/02/2022,Approved,View & Print
95,Western Region,Bharat Petroleum Corporation Limited,MS (in KL),01/02/2022,Approved,View & Print
96,Western Region,Indian Oil Corporation Limited,HSD (in KL),01/02/2022,Approved,View & Print
97,Western Region,Indian Oil Corporation Limited,MS (in KL),01/02/2022,Approved,View & Print
98,Western Region,Indian Oil Corporation Limited,SKO (in KL),01/02/2022,Approved,View & Print
,,,Non-Subsidized LPG,,,
99,Western Region,Indian Oil Corporation Limited,,01/02/2022,Approved,View & Print
,,,(No. of Cylinder),,,
,,,Commercial LPG (No. of,,,
100,Western Region,Indian Oil Corporation Limited,,01/02/2022,Approved,View & Print
,,,Cylinder),,,
101,Central Region,Bharat Petroleum Corporation Limited,HSD (in KL),01/02/2022,Approved,View & Print
102,Central Region,Bharat Petroleum Corporation Limited,MS (in KL),01/02/2022,Approved,View & Print
103,Central Region,Indian Oil Corporation Limited,HSD (in KL),01/02/2022,Approved,View & Print
104,Central Region,Indian Oil Corporation Limited,MS (in KL),01/02/2022,Approved,View & Print
105,Central Region,Indian Oil Corporation Limited,SKO (in KL),01/02/2022,Approved,View & Print
,,,Non-Subsidized LPG,,,
106,Central Region,Indian Oil Corporation Limited,,01/02/2022,Approved,View & Print
,,,(No. of Cylinder),,,
,,,Commercial LPG (No. of,,,
107,Central Region,Indian Oil Corporation Limited,,01/02/2022,Approved,View & Print
,,,Cylinder),,,
108,Eastern Region,Bharat Petroleum Corporation Limited,HSD (in KL),01/02/2022,Approved,View & Print
109,Eastern Region,Bharat Petroleum Corporation Limited,MS (in KL),01/02/2022,Approved,View & Print
110,Eastern Region,Indian Oil Corporation Limited,HSD (in KL),01/02/2022,Approved,View & Print
111,Eastern Region,Indian Oil Corporation Limited,MS (in KL),01/02/2022,Approved,View & Print
112,Eastern Region,Indian Oil Corporation Limited,SKO (in KL),01/02/2022,Approved,View & Print
,,,Non-Subsidized LPG,,,
113,Eastern Region,Indian Oil Corporation Limited,,01/02/2022,Approved,View & Print
,,,(No. of Cylinder),,,
,,,Commercial LPG (No. of,,,
114,Eastern Region,Indian Oil Corporation Limited,,01/02/2022,Approved,View & Print
,,,Cylinder),,,
115,Western Region,Bharat Petroleum Corporation Limited,HSD (in KL),16/01/2022,Approved,View & Print
116,Western Region,Bharat Petroleum Corporation Limited,MS (in KL),16/01/2022,Approved,View & Print
117,Western Region,Indian Oil Corporation Limited,HSD (in KL),16/01/2022,Approved,View & Print
118,Western Region,Indian Oil Corporation Limited,MS (in KL),16/01/2022,Approved,View & Print
119,Western Region,Hindustan Petroleum Corporation Limited,HSD (in KL),16/01/2022,Approved,View & Print
