Region,Product,Company,Approved_Date,Station,RSP/KL,RSP/L
Central Region,MS (in KL),Bharat Petroleum Corporation Limited,2020-06-01,Gelephu Town,44905.36,44.91
Central Region,MS (in KL),Bharat Petroleum Corporation Limited,2020-06-01,Sarpang,44982.57,44.98
Central Region,MS (in KL),Bharat Petroleum Corporation Limited,2020-06-01,Dagapela,46568.21,46.57
Central Region,MS (in KL),Bharat Petroleum Corporation Limited,2020-06-01,Tsirang,46084.48,46.08
Central Region,MS (in KL),Bharat Petroleum Corporation Limited,2020-06-01,Zhemgang,49191.63,49.19
Central Region,MS (in KL),Bharat Petroleum Corporation Limited,2020-06-01,Trongsa,48177.69,48.18
Central Region,MS (in KL),Bharat Petroleum Corporation Limited,2020-06-01,Bumthang,48586.49,48.59
Central Region,MS (in KL),Bharat Petroleum Corporation Limited,2020-06-01,Dagana,47053.11,47.05
Central Region,MS (in KL),Bharat Petroleum Corporation Limited,2020-06-01,Lhamoizingkha,49043.52,49.04
Central Region,MS (in KL),Bharat Petroleum Corporation Limited,2020-06-01,Dangdung,48334.21,48.33
Central Region,MS (in KL),Bharat Petroleum Corporation Limited,2020-06-01,Panbang,46457.89,46.46
Central Region,MS (in KL),Bharat Petroleum Corporation Limited,2020-06-01,Tingtibi,46655.82,46.66
