Region,Product,Company,Approved_Date,Station,RSP/KL,RSP/L
Eastern Region,HSD (in KL),Indian Oil Corporation Limited,2020-11-16,Samdrup Jongkhar Gate,48548.27,48.55
Eastern Region,HSD (in KL),Indian Oil Corporation Limited,2020-11-16,Nganglam Potonala,48541.78,48.54
Eastern Region,HSD (in KL),Indian Oil Corporation Limited,2020-11-16,Wamrong,49790.98,49.79
Eastern Region,HSD (in KL),Indian Oil Corporation Limited,2020-11-16,Trashigang,50218.64,50.22
Eastern Region,HSD (in KL),Indian Oil Corporation Limited,2020-11-16,Trashiyangtse,50977.49,50.98
Eastern Region,HSD (in KL),Indian Oil Corporation Limited,2020-11-16,Mongar,51197.41,51.2
Eastern Region,HSD (in KL),Indian Oil Corporation Limited,2020-11-16,Gyelposing,51297.52,51.3
Eastern Region,HSD (in KL),Indian Oil Corporation Limited,2020-11-16,Kanglung,50270.44,50.27
Eastern Region,HSD (in KL),Indian Oil Corporation Limited,2020-11-16,Pemagatshel,49710.3,49.71
Eastern Region,HSD (in KL),Indian Oil Corporation Limited,2020-11-16,Lhuntse,51774.04,51.77
Eastern Region,HSD (in KL),Indian Oil Corporation Limited,2020-11-16,Jomotsangkha,48548.27,48.55
Eastern Region,HSD (in KL),Indian Oil Corporation Limited,2020-11-16,Autsho,51445.92,51.45
Eastern Region,HSD (in KL),Indian Oil Corporation Limited,2020-11-16,Doksum,50480.36,50.48
Eastern Region,HSD (in KL),Indian Oil Corporation Limited,2020-11-16,Bhangtar,49156.19,49.16
Eastern Region,HSD (in KL),Indian Oil Corporation Limited,2020-11-16,Rangjung,50454.72,50.45
