Region,Product,Company,Approved_Date,Station,RSP/KL,RSP/L
Central Region,HSD (in KL),Bharat Petroleum Corporation Limited,2021-02-16,Gelephu Town,58724.72,58.72
Central Region,HSD (in KL),Bharat Petroleum Corporation Limited,2021-02-16,Sarpang,58798.3,58.8
Central Region,HSD (in KL),Bharat Petroleum Corporation Limited,2021-02-16,Dagapela,60372.11,60.37
Central Region,HSD (in KL),Bharat Petroleum Corporation Limited,2021-02-16,Tsirang,59886.33,59.89
Central Region,HSD (in KL),Bharat Petroleum Corporation Limited,2021-02-16,Zhemgang,62991.15,62.99
Central Region,HSD (in KL),Bharat Petroleum Corporation Limited,2021-02-16,Trongsa,61978.22,61.98
Central Region,HSD (in KL),Bharat Petroleum Corporation Limited,2021-02-16,Bumthang,62376.23,62.38
Central Region,HSD (in KL),Bharat Petroleum Corporation Limited,2021-02-16,Dagana,60853.13,60.85
Central Region,HSD (in KL),Bharat Petroleum Corporation Limited,2021-02-16,Lhamoizingkha,62045.77,62.05
Central Region,HSD (in KL),Bharat Petroleum Corporation Limited,2021-02-16,Dangdung,62144.6,62.14
Central Region,HSD (in KL),Bharat Petroleum Corporation Limited,2021-02-16,Panbang,60277.25,60.28
Central Region,HSD (in KL),Bharat Petroleum Corporation Limited,2021-02-16,Tingtibi,60470.44,60.47
