Region,Product,Company,Approved_Date,Station,RSP/KL,RSP/L
Eastern Region,MS (in KL),Bharat Petroleum Corporation Limited,2020-02-01,Samdrup Jongkhar,57426.12,57.43
Eastern Region,MS (in KL),Bharat Petroleum Corporation Limited,2020-02-01,Nganglam,57426.12,57.43
Eastern Region,MS (in KL),Bharat Petroleum Corporation Limited,2020-02-01,Wamrong,58895.71,58.9
Eastern Region,MS (in KL),Bharat Petroleum Corporation Limited,2020-02-01,Trashigang,59135.29,59.14
Eastern Region,MS (in KL),Bharat Petroleum Corporation Limited,2020-02-01,Trashiyangtse,60069.29,60.07
Eastern Region,MS (in KL),Bharat Petroleum Corporation Limited,2020-02-01,Mongar,60218.88,60.22
Eastern Region,MS (in KL),Bharat Petroleum Corporation Limited,2020-02-01,Gyelposing,60178.34,60.18
Eastern Region,MS (in KL),Bharat Petroleum Corporation Limited,2020-02-01,Kanglung,59344.72,59.34
Eastern Region,MS (in KL),Bharat Petroleum Corporation Limited,2020-02-01,Pemagatshel,58758.17,58.76
Eastern Region,MS (in KL),Bharat Petroleum Corporation Limited,2020-02-01,Lhuntse,60735.96,60.74
Eastern Region,MS (in KL),Bharat Petroleum Corporation Limited,2020-02-01,Jomotsangkha,58369.04,58.37
Eastern Region,MS (in KL),Bharat Petroleum Corporation Limited,2020-02-01,Autsho,60375.51,60.38
Eastern Region,MS (in KL),Bharat Petroleum Corporation Limited,2020-02-01,Doksum,59421.27,59.42
Eastern Region,MS (in KL),Bharat Petroleum Corporation Limited,2020-02-01,Bhangtar,58196.49,58.2
Eastern Region,MS (in KL),Bharat Petroleum Corporation Limited,2020-02-01,Rangjung,59424.72,59.42
