Region,Product,Company,Approved_Date,Station,RSP/KL,RSP/L
Eastern Region,MS (in KL),Bharat Petroleum Corporation Limited,2021-03-01,Samdrup Jongkhar,62631.62,62.63
Eastern Region,MS (in KL),Bharat Petroleum Corporation Limited,2021-03-01,Nganglam,62631.62,62.63
Eastern Region,MS (in KL),Bharat Petroleum Corporation Limited,2021-03-01,Wamrong,64155.23,64.16
Eastern Region,MS (in KL),Bharat Petroleum Corporation Limited,2021-03-01,Trashigang,64350.03,64.35
Eastern Region,MS (in KL),Bharat Petroleum Corporation Limited,2021-03-01,Trashiyangtse,65325.73,65.33
Eastern Region,MS (in KL),Bharat Petroleum Corporation Limited,2021-03-01,Mongar,65458.57,65.46
Eastern Region,MS (in KL),Bharat Petroleum Corporation Limited,2021-03-01,Gyelposing,65384.54,65.38
Eastern Region,MS (in KL),Bharat Petroleum Corporation Limited,2021-03-01,Kanglung,64596.99,64.6
Eastern Region,MS (in KL),Bharat Petroleum Corporation Limited,2021-03-01,Pemagatshel,64004.15,64
Eastern Region,MS (in KL),Bharat Petroleum Corporation Limited,2021-03-01,Lhuntse,65961.47,65.96
Eastern Region,MS (in KL),Bharat Petroleum Corporation Limited,2021-03-01,Jomotsangkha,61339.4,61.34
Eastern Region,MS (in KL),Bharat Petroleum Corporation Limited,2021-03-01,Autsho,65593.33,65.59
Eastern Region,MS (in KL),Bharat Petroleum Corporation Limited,2021-03-01,Doksum,64641.78,64.64
Eastern Region,MS (in KL),Bharat Petroleum Corporation Limited,2021-03-01,Bhangtar,63239.54,63.24
Eastern Region,MS (in KL),Bharat Petroleum Corporation Limited,2021-03-01,Rangjung,64652.16,64.65
