Region,Product,Company,Approved_Date,Station,RSP/KL,RSP/L
Western Region,HSD (in KL),Indian Oil Corporation Limited,2020-01-15,Phuentsholing,61284.89,61.28
Western Region,HSD (in KL),Indian Oil Corporation Limited,2020-01-15,Rinchending,61365.35,61.37
Western Region,HSD (in KL),Indian Oil Corporation Limited,2020-01-15,Pasakha,61418.99,61.42
Western Region,HSD (in KL),Indian Oil Corporation Limited,2020-01-15,Chimakothi,62667.59,62.67
Western Region,HSD (in KL),Indian Oil Corporation Limited,2020-01-15,Chubachu,63132.78,63.13
Western Region,HSD (in KL),Indian Oil Corporation Limited,2020-01-15,Paro Shaba,63123.18,63.12
Western Region,HSD (in KL),Indian Oil Corporation Limited,2020-01-15,Haa,63838.3,63.84
Western Region,HSD (in KL),Indian Oil Corporation Limited,2020-01-15,Wangdue Zero Point,63405.28,63.41
Western Region,HSD (in KL),Indian Oil Corporation Limited,2020-01-15,Beychu,63628.78,63.63
Western Region,HSD (in KL),Indian Oil Corporation Limited,2020-01-15,Samtse Checkpost,61713.72,61.71
Western Region,HSD (in KL),Indian Oil Corporation Limited,2020-01-15,Sipsoo,62429.75,62.43
Western Region,HSD (in KL),Indian Oil Corporation Limited,2020-01-15,Pagli,61546.04,61.55
Western Region,HSD (in KL),Indian Oil Corporation Limited,2020-01-15,Gedu,62257.08,62.26
Western Region,HSD (in KL),Indian Oil Corporation Limited,2020-01-15,Mitsina,63315.88,63.32
Western Region,HSD (in KL),Indian Oil Corporation Limited,2020-01-15,Khuruthang,63383.98,63.38
Western Region,HSD (in KL),Indian Oil Corporation Limited,2020-01-15,Gasa,64627.29,64.63
