Region,Product,Company,Approved_Date,Station,RSP/KL,RSP/L
Western Region,MS (in KL),Indian Oil Corporation Limited,2020-07-16,Phuentsholing,54831.05,54.83
Western Region,MS (in KL),Indian Oil Corporation Limited,2020-07-16,Rinchending,54911.51,54.91
Western Region,MS (in KL),Indian Oil Corporation Limited,2020-07-16,Pasakha,54965.15,54.97
Western Region,MS (in KL),Indian Oil Corporation Limited,2020-07-16,Chimakothi,56337.95,56.34
Western Region,MS (in KL),Indian Oil Corporation Limited,2020-07-16,Chubachu,56794.88,56.79
Western Region,MS (in KL),Indian Oil Corporation Limited,2020-07-16,Paro Shaba,56795.55,56.8
Western Region,MS (in KL),Indian Oil Corporation Limited,2020-07-16,Haa,57556.44,57.56
Western Region,MS (in KL),Indian Oil Corporation Limited,2020-07-16,Wangdue Zero Point,57010.1,57.01
Western Region,MS (in KL),Indian Oil Corporation Limited,2020-07-16,Beychu,57233.6,57.23
Western Region,MS (in KL),Indian Oil Corporation Limited,2020-07-16,Samtse Checkpost,54732.18,54.73
Western Region,MS (in KL),Indian Oil Corporation Limited,2020-07-16,Sipsoo,55989.8,55.99
Western Region,MS (in KL),Indian Oil Corporation Limited,2020-07-16,Pagli,54690.99,54.69
Western Region,MS (in KL),Indian Oil Corporation Limited,2020-07-16,Gedu,55929.69,55.93
Western Region,MS (in KL),Indian Oil Corporation Limited,2020-07-16,Mitsina,56920.7,56.92
Western Region,MS (in KL),Indian Oil Corporation Limited,2020-07-16,Khuruthang,56985.93,56.99
Western Region,MS (in KL),Indian Oil Corporation Limited,2020-07-16,Gasa,58335.55,58.34
Western Region,MS (in KL),Indian Oil Corporation Limited,2020-07-16,Dorokha,55682.01,55.68
Western Region,MS (in KL),Indian Oil Corporation Limited,2020-07-16,Langdru (Khasadrapchu),56642.9,56.64
