Region,Product,Company,Approved_Date,Station,RSP/KL,RSP/L
Western Region,HSD (in KL),Bharat Petroleum Corporation Limited,2020-02-01,Phuentsholing,59640.22,59.64
Western Region,HSD (in KL),Bharat Petroleum Corporation Limited,2020-02-01,Rinchending,59720.68,59.72
Western Region,HSD (in KL),Bharat Petroleum Corporation Limited,2020-02-01,Pasakha,59774.32,59.77
Western Region,HSD (in KL),Bharat Petroleum Corporation Limited,2020-02-01,Chimakothi,61008.51,61.01
Western Region,HSD (in KL),Bharat Petroleum Corporation Limited,2020-02-01,Lungtenzampa,61474.65,61.47
Western Region,HSD (in KL),Bharat Petroleum Corporation Limited,2020-02-01,Paro Town,61463.87,61.46
Western Region,HSD (in KL),Bharat Petroleum Corporation Limited,2020-02-01,Haa,62173.68,62.17
Western Region,HSD (in KL),Bharat Petroleum Corporation Limited,2020-02-01,Bajo Town,61753.8,61.75
Western Region,HSD (in KL),Bharat Petroleum Corporation Limited,2020-02-01,Beychu,61977.3,61.98
Western Region,HSD (in KL),Bharat Petroleum Corporation Limited,2020-02-01,Samtse Town,60168.36,60.17
Western Region,HSD (in KL),Bharat Petroleum Corporation Limited,2020-02-01,Sipsoo,60783.47,60.78
Western Region,HSD (in KL),Bharat Petroleum Corporation Limited,2020-02-01,Gomtu,60000.69,60
Western Region,HSD (in KL),Bharat Petroleum Corporation Limited,2020-02-01,Gedu,60597.73,60.6
Western Region,HSD (in KL),Bharat Petroleum Corporation Limited,2020-02-01,Lobesa,61652.38,61.65
Western Region,HSD (in KL),Bharat Petroleum Corporation Limited,2020-02-01,Khuruthang,61732.84,61.73
Western Region,HSD (in KL),Bharat Petroleum Corporation Limited,2020-02-01,Gasa,62963.81,62.96
