Region,Product,Company,Approved_Date,Station,RSP/KL,RSP/L
Eastern Region,HSD (in KL),Bharat Petroleum Corporation Limited,2020-02-01,Samdrup Jongkhar,56630.05,56.63
Eastern Region,HSD (in KL),Bharat Petroleum Corporation Limited,2020-02-01,Nganglam,56630.05,56.63
Eastern Region,HSD (in KL),Bharat Petroleum Corporation Limited,2020-02-01,Wamrong,57932.81,57.93
Eastern Region,HSD (in KL),Bharat Petroleum Corporation Limited,2020-02-01,Trashigang,58310.69,58.31
Eastern Region,HSD (in KL),Bharat Petroleum Corporation Limited,2020-02-01,Trashiyangtse,59115.9,59.12
Eastern Region,HSD (in KL),Bharat Petroleum Corporation Limited,2020-02-01,Mongar,59317.2,59.32
Eastern Region,HSD (in KL),Bharat Petroleum Corporation Limited,2020-02-01,Gyelposing,59380.09,59.38
Eastern Region,HSD (in KL),Bharat Petroleum Corporation Limited,2020-02-01,Kanglung,58404.21,58.4
Eastern Region,HSD (in KL),Bharat Petroleum Corporation Limited,2020-02-01,Pemagatshel,57837.08,57.84
Eastern Region,HSD (in KL),Bharat Petroleum Corporation Limited,2020-02-01,Lhuntse,59878.07,59.88
Eastern Region,HSD (in KL),Bharat Petroleum Corporation Limited,2020-02-01,Jomotsangkha,57570.68,57.57
Eastern Region,HSD (in KL),Bharat Petroleum Corporation Limited,2020-02-01,Autsho,59541.4,59.54
Eastern Region,HSD (in KL),Bharat Petroleum Corporation Limited,2020-02-01,Doksum,58578.83,58.58
Eastern Region,HSD (in KL),Bharat Petroleum Corporation Limited,2020-02-01,Bhangtar,57354.05,57.35
Eastern Region,HSD (in KL),Bharat Petroleum Corporation Limited,2020-02-01,Rangjung,58560.89,58.56
