Region,Product,Company,Approved_Date,Station,RSP/KL,RSP/L
Central Region,MS (in KL),Indian Oil Corporation Limited,2021-01-16,Gelephu Forest Checkpost,56763.88,56.76
Central Region,MS (in KL),Indian Oil Corporation Limited,2021-01-16,Sarpang,57122.69,57.12
Central Region,MS (in KL),Indian Oil Corporation Limited,2021-01-16,Dagapela,58515.87,58.52
Central Region,MS (in KL),Indian Oil Corporation Limited,2021-01-16,Tsirang,58043.98,58.04
Central Region,MS (in KL),Indian Oil Corporation Limited,2021-01-16,Zhemgang,58750.78,58.75
Central Region,MS (in KL),Indian Oil Corporation Limited,2021-01-16,Trongsa,59715.68,59.72
Central Region,MS (in KL),Indian Oil Corporation Limited,2021-01-16,Bumthang,60615.86,60.62
Central Region,MS (in KL),Indian Oil Corporation Limited,2021-01-16,Dagana,59023.14,59.02
Central Region,MS (in KL),Indian Oil Corporation Limited,2021-01-16,Lhamoizingkha,57772.02,57.77
Central Region,MS (in KL),Indian Oil Corporation Limited,2021-01-16,Dangdung,60244.46,60.24
Central Region,MS (in KL),Indian Oil Corporation Limited,2021-01-16,Panbang,58316.41,58.32
Central Region,MS (in KL),Indian Oil Corporation Limited,2021-01-16,Tingtibi,57964.97,57.96
