Region,Product,Company,Approved_Date,Station,RSP/KL,RSP/L
Central Region,MS (in KL),Indian Oil Corporation Limited,2020-06-01,Gelephu Forest Checkpost,44828.7,44.83
Central Region,MS (in KL),Indian Oil Corporation Limited,2020-06-01,Sarpang,45166.47,45.17
Central Region,MS (in KL),Indian Oil Corporation Limited,2020-06-01,Dagapela,46490.97,46.49
Central Region,MS (in KL),Indian Oil Corporation Limited,2020-06-01,Tsirang,46007.16,46.01
Central Region,MS (in KL),Indian Oil Corporation Limited,2020-06-01,Zhemgang,46700.43,46.7
Central Region,MS (in KL),Indian Oil Corporation Limited,2020-06-01,Trongsa,47671.21,47.67
Central Region,MS (in KL),Indian Oil Corporation Limited,2020-06-01,Bumthang,48508.73,48.51
Central Region,MS (in KL),Indian Oil Corporation Limited,2020-06-01,Dagana,46975.73,46.98
Central Region,MS (in KL),Indian Oil Corporation Limited,2020-06-01,Lhamoizingkha,45835.37,45.84
Central Region,MS (in KL),Indian Oil Corporation Limited,2020-06-01,Dangdung,48257.21,48.26
Central Region,MS (in KL),Indian Oil Corporation Limited,2020-06-01,Panbang,46381.23,46.38
Central Region,MS (in KL),Indian Oil Corporation Limited,2020-06-01,Tingtibi,46002.29,46
