Region,Product,Company,Approved_Date,Station,RSP/KL,RSP/L
Eastern Region,HSD (in KL),Indian Oil Corporation Limited,2021-01-16,Samdrup Jongkhar Gate,56145.02,56.15
Eastern Region,HSD (in KL),Indian Oil Corporation Limited,2021-01-16,Nganglam Potonala,56138.53,56.14
Eastern Region,HSD (in KL),Indian Oil Corporation Limited,2021-01-16,Wamrong,57444.18,57.44
Eastern Region,HSD (in KL),Indian Oil Corporation Limited,2021-01-16,Trashigang,57825.04,57.83
Eastern Region,HSD (in KL),Indian Oil Corporation Limited,2021-01-16,Trashiyangtse,58627.47,58.63
Eastern Region,HSD (in KL),Indian Oil Corporation Limited,2021-01-16,Mongar,58829.89,58.83
Eastern Region,HSD (in KL),Indian Oil Corporation Limited,2021-01-16,Gyelposing,58895.01,58.9
Eastern Region,HSD (in KL),Indian Oil Corporation Limited,2021-01-16,Kanglung,57916.06,57.92
Eastern Region,HSD (in KL),Indian Oil Corporation Limited,2021-01-16,Pemagatshel,57349.35,57.35
Eastern Region,HSD (in KL),Indian Oil Corporation Limited,2021-01-16,Lhuntse,59391.7,59.39
Eastern Region,HSD (in KL),Indian Oil Corporation Limited,2021-01-16,Jomotsangkha,56145.02,56.15
Eastern Region,HSD (in KL),Indian Oil Corporation Limited,2021-01-16,Autsho,59055.55,59.06
Eastern Region,HSD (in KL),Indian Oil Corporation Limited,2021-01-16,Doksum,58092.8,58.09
Eastern Region,HSD (in KL),Indian Oil Corporation Limited,2021-01-16,Bhangtar,56752.94,56.75
Eastern Region,HSD (in KL),Indian Oil Corporation Limited,2021-01-16,Rangjung,58074.4,58.07
