Region,Product,Company,Approved_Date,Station,RSP/KL,RSP/L
Western Region,HSD (in KL),Bharat Petroleum Corporation Limited,2021-02-01,Phuentsholing,59076.65,59.08
Western Region,HSD (in KL),Bharat Petroleum Corporation Limited,2021-02-01,Rinchending,59157.11,59.16
Western Region,HSD (in KL),Bharat Petroleum Corporation Limited,2021-02-01,Pasakha,59210.75,59.21
Western Region,HSD (in KL),Bharat Petroleum Corporation Limited,2021-02-01,Chimakothi,60440,60.44
Western Region,HSD (in KL),Bharat Petroleum Corporation Limited,2021-02-01,Lungtenzampa,60906.47,60.91
Western Region,HSD (in KL),Bharat Petroleum Corporation Limited,2021-02-01,Paro Town,60895.28,60.9
Western Region,HSD (in KL),Bharat Petroleum Corporation Limited,2021-02-01,Haa,61603.27,61.6
Western Region,HSD (in KL),Bharat Petroleum Corporation Limited,2021-02-01,Bajo Town,61187.9,61.19
Western Region,HSD (in KL),Bharat Petroleum Corporation Limited,2021-02-01,Beychu,61411.4,61.41
Western Region,HSD (in KL),Bharat Petroleum Corporation Limited,2021-02-01,Samtse Town,58637.99,58.64
Western Region,HSD (in KL),Bharat Petroleum Corporation Limited,2021-02-01,Sipsoo,60219.35,60.22
Western Region,HSD (in KL),Bharat Petroleum Corporation Limited,2021-02-01,Gomtu,58695.2,58.7
Western Region,HSD (in KL),Bharat Petroleum Corporation Limited,2021-02-01,Gedu,60029.14,60.03
Western Region,HSD (in KL),Bharat Petroleum Corporation Limited,2021-02-01,Lobesa,61086.59,61.09
Western Region,HSD (in KL),Bharat Petroleum Corporation Limited,2021-02-01,Khuruthang,61167.05,61.17
Western Region,HSD (in KL),Bharat Petroleum Corporation Limited,2021-02-01,Gasa,62393.79,62.39
